bi_gram,freq,example
কা,327,"['কাছে', 'কাজ', 'একাই', 'সকালে', 'কারণ']"
কি,183,"['কিন্তু', 'কিছু', 'কি', 'নাকি', 'তাকিয়ে']"
কী,82,"['কী', 'কীভাবে', 'কীসে', 'সংকীর্ণতাকে', 'কীসব']"
কু,45,"['থাকুন', 'ডাকুন', 'একুশে', 'লড়াকু', 'পুকুর']"
কূ,7,"['কূপই', 'উপকূলবাসী', 'উপকূলীয়', 'উপকূলবাসীর', 'অনুকূলেই']"
কৃ,12,"['প্রকৃত', 'প্রকৃতির', 'স্বীকৃতি', 'প্রকৃষ্ঠ', 'কৃতজ্ঞ']"
কে,490,"['থেকে', 'তাকে', 'আমাকে', 'থাকে', 'ওকে']"
কৈ,1,['কৈশোর']
কো,105,"['কোনো', 'কোথাও', 'কোথায়', 'কোটি', 'কোন']"
খা,144,"['খারাপ', 'দেখান', 'দেখা', 'এখানে', 'খালি']"
খি,37,"['দেখি', 'পাখি', 'খিচুড়ি', 'দেখিনি', 'লিখিত']"
খী,2,"['নিম্নমুখী', 'ঊর্ধ্বমুখী']"
খু,69,"['খুব', 'লিখুন', 'খুবই', 'খুলে', 'দেখুন']"
খে,113,"['দেখে', 'মুখে', 'খেয়ে', 'খেতে', 'চোখে']"
খো,19,"['খোলা', 'খোঁজ', 'খোল', 'সুদখোর', 'রেখো']"
গা,110,"['গাড়ি', 'গাছ', 'গাছের', 'গা', 'জায়গা']"
গি,40,"['গিয়ে', 'গিয়েছিলাম', 'এগিয়ে', 'রাগারাগি', 'লাগিয়ে']"
গী,9,"['রাগী', 'রোগীকে', 'রোগীর']"
গু,84,"['এগুলো', 'গুছিয়ে', 'সেগুলো', 'কথাগুলো', 'মানুষগুলোকে']"
গৃ,3,"['গৃহিণী', 'অর্থগৃধ্নু', 'জন্মগৃহবাসের']"
গে,140,"['গেল', 'গেছে', 'আগে', 'গেলে', 'গেলাম']"
গো,13,"['গোঁ', 'গোছাতে', 'এগোতেই', 'এগোতে', 'গোলা']"
গৌ,2,['সগৌরবে']
ঘা,14,"['ঘাটতি', 'ঘাবড়ে', 'ঘাপটি', 'বিশ্বাসঘাতকতা', 'রাস্তাঘাট']"
ঘি,5,"['ঘি', 'ঘিরে', 'ঘিরেই', 'নিমঘি']"
ঘু,36,"['ঘুম', 'ঘুমিয়ে', 'ঘুরে', 'ঘুরতে', 'ঘুরিয়ে']"
ঘূ,1,['ঘূর্ণিঝড়ের']
ঘে,5,"['মেঘে', 'ঘেরে', 'ঘেঁষে']"
ঘো,6,"['ঘোর', 'ঘোষণা', 'ঘোরে', 'ঘোরান']"
ঙা,2,"['বাঙালিদের', 'প্রাণরাঙা']"
ঙে,13,"['ভেঙে', 'রঙের', 'ভাঙেনি']"
চা,123,"['চাচা', 'চা', 'চাই', 'চাকরি', 'চায়']"
চি,38,"['উচিত', 'চিন্তা', 'চিৎকার', 'চিবোতে', 'লুচিগুলো']"
চী,7,"['প্রাচীন', 'চীনেই', 'চীনে', 'চীনের']"
চু,13,"['নিচু', 'খিচুড়ি', 'চুপ', 'উঁচু', 'সিচুয়েশন']"
চূ,1,['চূড়ায়']
চে,62,"['চেষ্টা', 'সবচেয়ে', 'চেয়ে', 'বেঁচে', 'নিচে']"
চৈ,1,['হৈচৈ']
চো,22,"['চোখ', 'চোখে', 'চোখের', 'চোর', 'চোরের']"
চৌ,2,"['চৌকশ', 'চৌধুরী']"
ছা,59,"['বিছানায়', 'পৌঁছাতে', 'ছাড়া', 'ছাদে', 'পৌঁছায়']"
ছি,151,"['ছিল', 'বলছি', 'ছিলাম', 'গুছিয়ে', 'হয়েছিল']"
ছু,64,"['কিছু', 'কিছুই', 'কিছুক্ষণ', 'এতকিছু', 'সবকিছু']"
ছে,258,"['আছে', 'কাছে', 'হয়েছে', 'গেছে', 'করেছে']"
ছো,33,"['ছোট', 'ছোটো', 'ছোট্ট', 'করেছো', 'করছো']"
জা,153,"['হাজার', 'জানান', 'বাজারে', 'জানে', 'রেজাল্ট']"
জি,32,"['জিজ্ঞেস', 'কেজি', 'জি', 'সবজি', 'জিনিস']"
জী,27,"['জীবনের', 'জীবন', 'জীবনে', 'জীবিকা', 'আজীবনকাল']"
জু,9,"['জুড়ে', 'মজুদ', 'অজুহাত', 'জুতাটা', 'জুগিয়েছিল']"
জে,66,"['নিজের', 'নিজেকে', 'নিজেদের', 'জেলেদের', 'ভিজে']"
জো,5,"['জোতদারদের', 'জোটে', 'জোড়া', 'জোর', 'ভিজো']"
ঝা,16,"['বোঝায়', 'বোঝালো', 'বোঝার', 'বোঝাতে', 'ঝাপটায়']"
ঝি,4,"['বুঝি', 'বুঝিনি']"
ঝু,3,"['ঝুকে', 'ঝুম']"
ঝে,17,"['মাঝে', 'বুঝে', 'মাঝেই', 'বুঝেছি', 'বুঝেছে']"
টা,244,"['একটা', 'সেটা', 'এটা', 'মনটা', 'টাকা']"
টি,68,"['একটি', 'কোটি', 'টিম', 'ছুটি', 'প্রতিটি']"
টু,24,"['একটু', 'আরেকটু', 'সবটুকু', 'এটুকু', 'কতটুকু']"
টে,46,"['কেটে', 'সিটে', 'খেটে', 'স্পটে', 'টেনশনে']"
টো,5,"['দুটো', 'ছোটো']"
ঠা,26,"['হঠাৎ', 'ঠান্ডা', 'পাঠাবেন', 'ওঠা', 'পাঠাতে']"
ঠি,20,"['ঠিক', 'কঠিন', 'পাঠিয়েছেন', 'ঠিকই', 'ঠিকমতো']"
ঠু,1,['উঠুন']
ঠে,33,"['উঠে', 'ওঠে', 'মাঠে', 'ঠেকে', 'মাঠের']"
ঠো,7,"['কঠোর', 'উঠোনে', 'মুঠোর', 'ঠোঁটে', 'দুমুঠো']"
ডা,29,"['ডাকতে', 'ডাকুন', 'ডাক', 'ডাল', 'ডাকাডাকিতে']"
ডি,12,"['মিডিয়া', 'ডিন', 'মেডিকেলের', 'ডিভানে', 'ডিসেম্বর']"
ডু,1,['ডুবে']
ডে,11,"['ডেকে', 'আপডেট', 'এক্সিডেন্ট', 'স্টুডেন্টদের', 'ডেউ']"
ডো,2,"['টর্নেডোর', 'করিডোরে']"
ঢা,6,"['ঢাক', 'ঢাকায়', 'ঢাকাকে', 'ঢাকা', 'ঢালা']"
ঢি,1,['ঢিল']
ঢু,7,"['ঢুকে', 'ঢুকতে', 'ঢুকেই', 'ঢুণ্ঢনের', 'ঢুকিয়ে']"
ঢে,7,"['ঢেউ', 'ঢেকে', 'ঢেউকে', 'ঢেউয়ের', 'ঢেকুর']"
ঢো,1,['ঢোকানো']
ণা,12,"['অনুপ্রেরণা', 'ধারণা', 'ঘোষণা', 'যন্ত্রণা', 'তাড়ণা']"
ণি,3,"['ভণিতা', 'শ্রেণির', 'অতিক্ষণিক']"
ণী,7,"['ফণী', 'প্রাণীর', 'গৃহিণী', 'করণীয়', 'শ্রেণীর']"
ণে,15,"['জনগণের', 'প্রাণের', 'বিশেষণে', 'কারণে', 'নির্মাণের']"
তা,472,"['তার', 'তাদের', 'তাকে', 'তারা', 'তাই']"
তি,137,"['তিনি', 'তিন', 'প্রতিদিন', 'প্রতি', 'অতি']"
তী,14,"['ভাগ্যবতী', 'তীক্ষ্ণ', 'যাবতীয়', 'দ্বিতীয়', 'তৃতীয়']"
তু,70,"['তুমি', 'নতুন', 'তুই', 'তুলে', 'তুলনায়']"
তৃ,6,"['তৃতীয়', 'পিতৃপক্ষের', 'মাতৃরূপে', 'পরিতৃপ্ত', 'ভ্রাতৃত্বকে']"
তে,422,"['করতে', 'বলতে', 'হতে', 'দিতে', 'যেতে']"
তৈ,7,['তৈরি']
তো,171,"['তো', 'মতো', 'তোমার', 'তোমরা', 'হয়তো']"
থা,198,"['কথা', 'থাকে', 'থাকবে', 'কোথাও', 'থাকতে']"
থি,12,"['পৃথিবীর', 'পৃথিবী', 'অতিথিকে', 'সিঁথিতে', 'পথিক']"
থে,119,"['থেকে', 'সাথে', 'থেকেই', 'একসাথে', 'থেমে']"
থৈ,1,['অথৈ']
দা,109,"['দাঁড়িয়ে', 'দায়িত্ব', 'সাদা', 'দাও', 'দাবী']"
দি,265,"['দিয়ে', 'দিন', 'যদি', 'দিতে', 'সারাদিন']"
দী,10,"['নদী', 'নদীর', 'দীর্ঘস্থায়ী', 'দীন', 'মেহেদী']"
দু,67,"['দুই', 'দুটো', 'দুঃশ্চিন্তা', 'দুজনেই', 'দুজন']"
দূ,17,"['দূর', 'দূরে', 'সিঁদূর', 'দূর্গার', 'দূর্গা']"
দৃ,8,"['দৃষ্টি', 'দৃঢ়', 'দৃশ্য', 'আপাতদৃষ্টিতে', 'অদৃশ্য']"
দে,376,"['তাদের', 'আমাদের', 'দেখি', 'দেখে', 'দেখতে']"
দৈ,3,"['দৈনন্দিন', 'অনুদৈর্ঘ্য', 'দৈর্ঘ্য']"
দো,15,"['দোয়া', 'দোস্ত', 'দোকানে', 'দোষ', 'দোষকে']"
দৌ,5,"['দৌড়ে', 'আদৌ', 'দৌড়াতে', 'দৌরাত্ম্য']"
ধা,44,"['সাধারণ', 'ধারণা', 'অসাধারণ', 'ধাপে', 'ধাতস্থ']"
ধি,10,"['অধিকার', 'উপাধি', 'অবধি', 'সমাধির', 'অধিবাসীদেরকে']"
ধী,4,"['ধীরে', 'স্বাধীনভাবে', 'পরস্পরবিরোধী']"
ধু,23,"['শুধু', 'ধুয়ে', 'ধুর', 'চৌধুরী', 'বাঁধুন']"
ধূ,1,['ধূসর']
ধে,11,"['বাঁধের', 'বেঁধে', 'বেধে', 'কাঁধে', 'কাঁধের']"
ধৈ,2,"['ধৈর্য', 'ধৈর্য্য']"
ধো,2,"['ধোনি', 'ধোও']"
না,500,"['না', 'আপনার', 'নাকি', 'আপনাদের', 'নারিকেল']"
নি,354,"['নিয়ে', 'তিনি', 'নিজের', 'আপনি', 'নিতে']"
নী,17,"['নীল', 'শক্তিবর্ধনীয়', 'স্থানীয়', 'মাননীয়', 'নীরবতা']"
নু,79,"['মানুষ', 'মানুষের', 'মানুষকে', 'কিনুন', 'অনুভব']"
নে,363,"['নেই', 'অনেক', 'মনে', 'শুনে', 'মনের']"
নৈ,7,"['অর্থনৈতিক', 'নৈর্ব্যক্তিক', 'নৈকট্যধ্বনির', 'নৈশজাপনই', 'নৈলে']"
নো,125,"['কোনো', 'কখনো', 'এখনো', 'লাগানো', 'শোনো']"
নৌ,10,"['নৌকা', 'নৌকার', 'নৌকাটা', 'নৌকায়', 'নৌকাটাকে']"
পা,283,"['পারে', 'পাশের', 'পাওয়া', 'পাঁচ', 'পাশে']"
পি,27,"['পিছনে', 'তেলাপিয়া', 'এমপি', 'পিঠ', 'পিছলে']"
পী,2,"['জ্ঞানপাপী', 'মধ্যপদলোপী']"
পু,45,"['পুরো', 'পুলিশ', 'রংপুরে', 'পুকুর', 'পুত্র']"
পূ,13,"['গুরুত্বপূর্ণ', 'পূর্বদিক', 'পূরণ', 'পূর্বের', 'অপূর্ব']"
পৃ,10,"['পৃথিবীর', 'পৃথিবী', 'পৃষ্ঠা', 'পৃথ্বীরাজ']"
পে,58,"['পেয়ে', 'পেলাম', 'পেতে', 'অপেক্ষা', 'পেয়েছি']"
পো,12,"['রিপোর্ট', 'পোস্ট', 'সাপোর্ট', 'পোষা', 'পোর্টালগুলো']"
পৌ,14,"['পৌঁছাতে', 'পৌঁছে', 'পৌঁছায়', 'পৌঁছাতেই', 'পৌঁছানোর']"
ফা,11,"['ফাইনাল', 'ফাল্গুন', 'ফাল', 'প্রোফাইল', 'ফার্মেসি']"
ফি,34,"['ফিরে', 'ফিরল', 'অফিসের', 'অফিসে', 'সার্টিফিকেট']"
ফু,12,"['কাশফুলের', 'ফুসতে', 'ফুচকা', 'ফুফু', 'ফুলবনেৃৃগান']"
ফে,34,"['ফেরার', 'ফেসবুকে', 'ফেসবুক', 'ফেলে', 'ফেললাম']"
ফো,22,"['ফোন', 'ফোনটা', 'ফোঁশকা', 'ফোনের', 'ফোটা']"
বা,518,"['আবার', 'বা', 'বাড়ি', 'বাড়ির', 'বাবা']"
বি,181,"['বিভিন্ন', 'বিয়ের', 'ভাবি', 'বিছানায়', 'বিয়ে']"
বী,20,"['পৃথিবীর', 'দাবী', 'পৃথিবী', 'দেবী', 'দেবীপক্ষের']"
বু,67,"['বুঝলাম', 'ফেসবুকে', 'ফেসবুক', 'বুঝে', 'মজবুত']"
বৃ,23,"['বৃষ্টি', 'বৃষ্টিতে', 'বৃষ্টির', 'বৃথা', 'বটবৃক্ষ']"
বে,352,"['হবে', 'বের', 'যাবে', 'বেশ', 'থাকবে']"
বৈ,6,"['বৈশিষ্ট্য', 'বৈষ্ণব', 'বৈচিত্র্যে', 'বৈরাগ্য', 'বৈধর্ম্য']"
বো,37,"['বোঝায়', 'বোনকে', 'বোনের', 'বোধহয়', 'চিবোতে']"
বৌ,9,"['বৌমা', 'বৌমাকে', 'বৌয়ের', 'বৌমার', 'বৌকে']"
ভা,176,"['ভালো', 'ভাবতে', 'কীভাবে', 'ভাইয়া', 'ভাবি']"
ভি,57,"['বিভিন্ন', 'ভিতর', 'ভিন্ন', 'ভিজে', 'অভিবাদন']"
ভী,3,"['ভীষণ', 'ভীড়', 'গভীর']"
ভু,16,"['ভুল', 'ভুলে', 'ভুগতে', 'ভুনা', 'ভুড়িসহ']"
ভূ,5,"['ভূমিকা', 'অনুভূতিগুলোও', 'বিভূতিভূষণ', 'অনুভূতিগুলো']"
ভে,37,"['ভেবে', 'ভেঙে', 'ভেসে', 'ভেঙ্গে', 'ভেবেই']"
ভো,10,"['ভোরে', 'ভোরের', 'মহাভোজের', 'ভোলানো', 'ভোগান্তি']"
মা,478,"['আমার', 'আমাকে', 'আমাদের', 'তোমার', 'মানুষ']"
মি,181,"['আমি', 'তুমি', 'মিষ্টি', 'মিলে', 'আমিই']"
মী,12,"['আগামীকাল', 'স্বামীকে', 'স্বামীসহ', 'আগামী', 'সেলামী']"
মু,75,"['মুখে', 'মুখ', 'সমুদ্রের', 'সমুদ্রে', 'মুক্তি']"
মূ,11,"['মূর্তিমান', 'অনুধাবনমূলক', 'প্রমূখকে', 'মূল', 'মূল্য']"
মৃ,6,"['মৃত্যু', 'মৃত্যুর', 'মৃতের', 'সমৃদ্ধি']"
মে,96,"['মেনে', 'মেলে', 'মেয়ে', 'গ্রামে', 'নামে']"
মো,20,"['মোটর', 'মোট', 'মোবাইলটা', 'আড়মোড়া', 'মোহনিয়া']"
মৌ,3,"['মৌলবির', 'মৌলিক', 'মৌল']"
যা,166,"['যায়', 'যাওয়ার', 'যা', 'যাবে', 'যাচ্ছে']"
যি,1,['যিনি']
যু,8,"['যুগের', 'অভিযুক্ত', 'যুদ্ধ', 'সংযুক্ত', 'যুদ্ধে']"
যে,109,"['যে', 'যেন', 'যেতে', 'যেমন', 'যেই']"
যো,17,"['সুযোগ', 'অভিযোগ', 'যোগদান', 'যোগ্যতা', 'মনযোগ']"
রা,338,"['তারা', 'করা', 'সারাদিন', 'করার', 'তোমরা']"
রি,155,"['বেরিয়ে', 'নারিকেল', 'হারিয়ে', 'তৈরি', 'করি']"
রী,30,"['শরীর', 'পরীক্ষা', 'জরুরী', 'নারী', 'শরীরের']"
রু,106,"['করুন', 'শুরু', 'রুম', 'জরুরী', 'রুমে']"
রূ,15,"['রূপ', 'অপরূপ', 'দেবীরূপের', 'মাতৃরূপে', 'রূপবতী']"
রে,442,"['করে', 'পারে', 'বাইরে', 'ধরে', 'ঘরে']"
রো,69,"['পুরো', 'করো', 'বারো', 'কারো', 'পনেরো']"
রৌ,1,['রৌপ্য']
লা,304,"['করলাম', 'দেখলাম', 'গেলাম', 'বুঝলাম', 'বলা']"
লি,67,"['লিখুন', 'খালি', 'বুলিয়ে', 'প্রচলিত', 'পাবলিশড']"
লী,4,"['শক্তিশালী', 'উপকূলীয়', 'চলাকালীন', 'সাবলীল']"
লু,13,"['তুলুন', 'লুচিগুলো', 'লুচি', 'লোলুপ', 'আলু']"
লে,372,"['বলে', 'চলে', 'তাহলে', 'বললেন', 'বলেন']"
লো,182,"['হলো', 'ভালো', 'এগুলো', 'সেগুলো', 'কথাগুলো']"
শা,75,"['শাশুড়ির', 'শাশুড়ি', 'শান্ত', 'শাড়ি', 'শাশুড়িকে']"
শি,51,"['বেশি', 'খুশি', 'খুশিতে', 'মহাখুশি', 'জলরাশি']"
শী,9,"['বেশী', 'প্রতিবেশীদের', 'শীতে', 'বিদেশী', 'শীঘ্র']"
শু,131,"['শুরু', 'শুধু', 'শুনে', 'শাশুড়ির', 'শাশুড়ি']"
শূ,3,['শূন্য']
শৃ,1,['শৃঙ্খলা']
শে,117,"['শেষ', 'পাশের', 'দেশের', 'পাশে', 'দেশে']"
শো,23,"['শোনো', 'কিশোরের', 'শোনা', 'শোনার', 'কিশোর']"
ষা,11,"['ভাষায়', 'বিশেষায়িত', 'পোষা', 'আষাঢ়', 'কষাঘাতে']"
ষি,8,"['চাষিরা', 'বিভিষিকা', 'নিষ্পেষিত', 'চাষি', 'কৃষিকাজই']"
ষী,1,['চাষীদের']
ষু,2,"['মুষুলধারায়', 'ওষুধ']"
ষে,24,"['মানুষের', 'নিষেধ', 'দিনশেষে', 'অবশেষে', 'বরবাদ্নিষেধ']"
ষো,3,"['ষোলো', 'ষোলোই', 'কষো']"
সা,233,"['সাথে', 'বাসায়', 'সারাদিন', 'সামনে', 'সাত']"
সি,46,"['হাসি', 'সিটে', 'ভাসিয়ে', 'আসি', 'রসিয়ে']"
সী,15,"['অসীম', 'সাহসীকতার', 'অসীমতা', 'জসীমউদ্দীন', 'উপকূলবাসী']"
সু,53,"['সুন্দর', 'সুযোগ', 'বসুন', 'অসুস্থ', 'সুখ']"
সূ,9,"['সূর্য', 'সূর্যের', 'সম্মতিসূচক', 'সূক্ষ্মভাবে', 'সূক্ষ্মতম']"
সৃ,3,"['সৃষ্টিকর্তার', 'সৃষ্ট', 'সৃষ্টিকর্তা']"
সে,273,"['সে', 'বসে', 'এসে', 'সেই', 'সেটা']"
সৈ,1,['সৈকতে']
সো,8,"['সোনার', 'সোজা', 'আসো', 'সোমবার', 'সোনাইয়ের']"
সৌ,10,"['সৌন্দর্য', 'সৌন্দর্যের', 'সৌভাগ্যের', 'সৌরজগত', 'সৌদি']"
হা,147,"['হাজার', 'হাত', 'হাতে', 'হারিয়ে', 'সাহায্য']"
হি,24,"['হিসেবে', 'প্রবাহিত', 'হিন্দুধর্ম', 'হিশাব', 'হিলিং']"
হী,2,"['শহীদ', 'মাহীন']"
হু,7,"['বহুদিন', 'তাড়াহুড়ো', 'হুমায়ুন', 'বহুলও', 'বহুবার']"
হূ,4,"['মুহূর্তে', 'মুহূর্ত', 'মুহূর্তের']"
হৃ,2,['ব্যবহৃত']
হে,16,"['সপ্তাহে', 'যেহেতু', 'হেঁটে', 'সস্নেহে', 'হে']"
হৈ,1,['হৈচৈ']
হো,21,"['হোন', 'হোক', 'যাইহোক', 'হোস', 'হোতো']"
ড়া,77,"['ছাড়া', 'লেখাপড়া', 'পড়া', 'পড়ালেখা', 'লড়াকু']"
ড়ি,148,"['বাড়ি', 'বাড়ির', 'গাড়ি', 'দাঁড়িয়ে', 'শাশুড়ির']"
ড়ু,6,"['ছাড়ুন', 'পড়ুন', 'গুড়ুম']"
ড়ে,83,"['পড়ে', 'ছেড়ে', 'ঝড়ের', 'পাড়ে', 'চড়ে']"
ড়ো,4,"['তাড়াহুড়ো', 'বেড়োলে', 'তাড়াহুড়োতে', 'বড়ো']"
য়া,163,"['যাওয়ার', 'দেওয়া', 'পাওয়া', 'হওয়ার', 'ভাইয়া']"
য়ি,13,"['দায়িত্ব', 'বিশেষায়িত', 'পেয়িং', 'দায়িত্বও', 'শায়িত']"
য়ী,6,"['ক্ষণস্থায়ী', 'দীর্ঘস্থায়ী', 'দায়ী', 'অনুযায়ী', 'অনুপ্রেরণাদায়ী']"
য়ু,2,"['হুমায়ুন', 'বায়ু']"
য়ে,522,"['হয়ে', 'নিয়ে', 'দিয়ে', 'গিয়ে', 'হয়েছে']"
য়ো,11,"['প্রয়োজন', 'প্রয়োগ', 'আয়োজন', 'প্রয়োজনের', 'হয়ো']"
