cluster,freq
ক্ক,"[0, 2, 4]"
ক্ক্র,"[0, 1, 0]"
ক্ট্র,"[0, 1, 1]"
ক্ত,"[0, 20, 26]"
ক্প,"[0, 1, 0]"
ক্ব,"[1, 1, 0]"
ক্ম,"[0, 1, 0]"
ক্য,"[5, 4, 5]"
ক্র,"[9, 7, 2]"
ক্ল,"[12, 1, 0]"
ক্ষ,"[17, 47, 21]"
ক্ষ্ণ,"[0, 0, 2]"
ক্ষ্ব,"[0, 1, 0]"
ক্ষ্ম,"[0, 3, 2]"
ক্ষ্ম্য,"[0, 0, 1]"
ক্ষ্য,"[3, 0, 5]"
ক্স,"[0, 6, 3]"
খ্য,"[1, 1, 6]"
খ্র,"[1, 0, 0]"
গ্ণ,"[0, 0, 1]"
গ্ধ,"[0, 1, 3]"
গ্ন,"[0, 3, 2]"
গ্ন্য,"[0, 2, 1]"
গ্ব,"[0, 2, 0]"
গ্ম,"[0, 1, 1]"
গ্য,"[1, 4, 6]"
গ্র,"[18, 10, 1]"
গ্র্য,"[0, 0, 1]"
গ্ল,"[2, 1, 0]"
ঘ্ন,"[0, 1, 1]"
ঘ্য,"[1, 0, 0]"
ঘ্র,"[2, 2, 0]"
ঙ্ক,"[0, 4, 6]"
ঙ্ক্ত,"[0, 1, 0]"
ঙ্ক্ষ,"[0, 1, 2]"
ঙ্খ,"[0, 1, 2]"
ঙ্খ্য,"[0, 0, 1]"
ঙ্গ,"[0, 8, 7]"
ঙ্গ্য,"[0, 1, 0]"
ঙ্ঘ,"[0, 2, 0]"
ঙ্ঘ্য,"[0, 0, 1]"
ঙ্ঘ্র,"[0, 0, 1]"
ঙ্ম,"[0, 1, 1]"
চ্চ,"[0, 10, 2]"
চ্ছ,"[0, 26, 47]"
চ্ছ্ব,"[0, 2, 0]"
চ্ছ্র,"[0, 1, 0]"
চ্ঞ,"[0, 0, 1]"
চ্ব,"[1, 0, 0]"
চ্য,"[0, 2, 1]"
ছ্য,"[2, 0, 0]"
জ্জ,"[0, 1, 1]"
জ্জ্ব,"[0, 3, 0]"
জ্ঝ,"[0, 1, 0]"
জ্ঞ,"[12, 16, 2]"
জ্ব,"[4, 0, 0]"
জ্য,"[3, 0, 2]"
জ্র,"[0, 1, 0]"
ঞ্চ,"[0, 14, 1]"
ঞ্ছ,"[0, 1, 1]"
ঞ্জ,"[0, 6, 3]"
ঞ্ঝ,"[0, 1, 0]"
ট্ট,"[0, 1, 2]"
ট্ব,"[0, 0, 1]"
ট্ম,"[0, 1, 0]"
ট্য,"[1, 1, 1]"
ট্র,"[20, 1, 0]"
ড্ড,"[0, 0, 1]"
ড্য,"[1, 0, 1]"
ড্র,"[6, 0, 0]"
ঢ্য,"[1, 0, 1]"
ণ্ট,"[0, 4, 4]"
ণ্ঠ,"[0, 1, 2]"
ণ্ঠ্য,"[0, 1, 0]"
ণ্ড,"[0, 6, 4]"
ণ্ড্য,"[0, 0, 1]"
ণ্ঢ,"[0, 2, 0]"
ণ্ন,"[0, 2, 1]"
ণ্ব,"[0, 1, 1]"
ণ্ম,"[0, 1, 1]"
ণ্য,"[0, 1, 2]"
ত্ত,"[0, 4, 9]"
ত্ত্ব,"[0, 1, 0]"
ত্ত্য,"[0, 1, 0]"
ত্থ,"[0, 1, 0]"
ত্ন,"[0, 1, 2]"
ত্ব,"[0, 4, 14]"
ত্ম,"[0, 6, 0]"
ত্ম্য,"[0, 0, 2]"
ত্য,"[1, 11, 11]"
ত্র,"[7, 14, 10]"
ত্র্য,"[1, 0, 1]"
থ্ব,"[0, 1, 0]"
থ্য,"[1, 0, 4]"
থ্র,"[2, 0, 0]"
দ্গ,"[0, 1, 0]"
দ্ঘ,"[0, 1, 0]"
দ্দ,"[0, 3, 0]"
দ্দ্ব,"[0, 1, 0]"
দ্ধ,"[0, 9, 15]"
দ্ন,"[0, 1, 0]"
দ্ব,"[6, 2, 0]"
দ্ব্য,"[0, 1, 0]"
দ্ভ,"[0, 4, 0]"
দ্ভ্র,"[0, 1, 0]"
দ্ম,"[0, 5, 1]"
দ্য,"[0, 5, 4]"
দ্র,"[5, 6, 11]"
দ্র্য,"[0, 0, 1]"
ধ্ন,"[0, 0, 1]"
ধ্ব,"[0, 2, 0]"
ধ্ম,"[0, 1, 0]"
ধ্য,"[0, 10, 28]"
ধ্র,"[1, 0, 0]"
ন্ট,"[0, 6, 9]"
ন্ট্র,"[0, 1, 0]"
ন্ঠ,"[0, 1, 0]"
ন্ড,"[0, 3, 13]"
ন্ড্র,"[0, 1, 0]"
ন্ত,"[0, 28, 74]"
ন্ত্ব,"[0, 3, 0]"
ন্ত্য,"[0, 1, 1]"
ন্ত্র,"[0, 8, 3]"
ন্ত্র্য,"[0, 0, 1]"
ন্থ,"[0, 0, 3]"
ন্থ্র,"[0, 1, 0]"
ন্দ,"[0, 25, 25]"
ন্দ্য,"[0, 0, 1]"
ন্দ্র,"[0, 2, 1]"
ন্ধ,"[0, 9, 14]"
ন্ধ্য,"[0, 2, 1]"
ন্ধ্র,"[0, 0, 2]"
ন্ন,"[0, 3, 31]"
ন্ন্য,"[0, 1, 0]"
ন্ব,"[0, 3, 0]"
ন্ম,"[0, 2, 4]"
ন্য,"[4, 12, 82]"
ন্স,"[0, 1, 3]"
প্ত,"[0, 2, 4]"
প্ন,"[0, 1, 1]"
প্প,"[0, 0, 1]"
প্য,"[1, 1, 1]"
প্র,"[148, 14, 0]"
প্র্য,"[1, 0, 0]"
প্ল,"[2, 0, 0]"
প্স,"[0, 0, 1]"
ফ্য,"[1, 0, 0]"
ফ্র,"[6, 0, 0]"
ফ্ল,"[1, 0, 0]"
ফ্ল্য,"[1, 0, 0]"
ব্জ,"[0, 0, 1]"
ব্দ,"[0, 3, 22]"
ব্ধ,"[0, 1, 1]"
ব্ব,"[0, 3, 1]"
ব্য,"[43, 2, 3]"
ব্র,"[4, 4, 0]"
ব্র্য,"[1, 0, 0]"
ব্ল,"[2, 0, 0]"
ভ্য,"[2, 4, 1]"
ভ্র,"[2, 3, 0]"
ম্ন,"[0, 1, 1]"
ম্প,"[0, 14, 1]"
ম্প্র,"[0, 2, 0]"
ম্ফ,"[0, 1, 2]"
ম্ব,"[0, 8, 5]"
ম্ব্র,"[0, 1, 0]"
ম্ভ,"[0, 15, 1]"
ম্ভ্র,"[0, 1, 0]"
ম্ম,"[0, 6, 7]"
ম্য,"[13, 3, 1]"
ম্ল,"[1, 3, 1]"
য্য,"[0, 0, 7]"
র্ক,"[0, 4, 11]"
র্ক্য,"[0, 0, 1]"
র্খ,"[0, 0, 1]"
র্গ,"[0, 6, 4]"
র্গ্য,"[0, 0, 1]"
র্ঘ,"[0, 2, 0]"
র্ঘ্য,"[0, 0, 2]"
র্চ,"[0, 0, 1]"
র্চ্য,"[0, 0, 1]"
র্ছ,"[0, 1, 0]"
র্জ,"[0, 7, 2]"
র্জ্ঞ,"[0, 1, 0]"
র্জ্য,"[0, 0, 1]"
র্ট,"[0, 4, 12]"
র্ড,"[0, 2, 1]"
র্ঢ্য,"[0, 0, 1]"
র্ণ,"[0, 5, 6]"
র্ণ্য,"[0, 0, 1]"
র্ত,"[0, 9, 11]"
র্ত্ম,"[0, 0, 1]"
র্ত্য,"[0, 0, 1]"
র্ত্র,"[0, 0, 1]"
র্থ,"[0, 5, 13]"
র্থ্য,"[0, 0, 1]"
র্দ,"[0, 14, 3]"
র্দ্ব,"[0, 1, 0]"
র্দ্র,"[0, 1, 0]"
র্ধ,"[0, 4, 0]"
র্ধ্ব,"[0, 1, 1]"
র্ন,"[0, 4, 0]"
র্প,"[0, 2, 0]"
র্ফ,"[0, 0, 2]"
র্ব,"[0, 13, 10]"
র্ব্য,"[0, 1, 1]"
র্ভ,"[0, 4, 2]"
র্ম,"[0, 15, 6]"
র্ম্য,"[0, 0, 2]"
র্য,"[0, 18, 16]"
র্য্য,"[0, 0, 1]"
র্ল,"[0, 1, 1]"
র্শ,"[0, 3, 7]"
র্শ্ব,"[0, 1, 1]"
র্শ্য,"[0, 0, 1]"
র্ষ,"[0, 1, 1]"
র্ষ্য,"[0, 0, 1]"
র্স,"[0, 1, 1]"
র্হ,"[0, 2, 0]"
ল্ক,"[0, 1, 1]"
ল্ক্য,"[0, 0, 1]"
ল্গ,"[0, 1, 0]"
ল্ট,"[0, 1, 8]"
ল্ড,"[0, 0, 1]"
ল্প,"[0, 5, 8]"
ল্ফ,"[0, 0, 1]"
ল্ব,"[0, 1, 1]"
ল্ভ,"[0, 1, 1]"
ল্ম,"[0, 1, 1]"
ল্য,"[0, 3, 3]"
ল্ল,"[0, 6, 0]"
শ্চ,"[0, 13, 1]"
শ্ছ,"[0, 1, 0]"
শ্ন,"[0, 1, 8]"
শ্ব,"[3, 26, 2]"
শ্ম,"[1, 1, 0]"
শ্য,"[0, 3, 11]"
শ্র,"[7, 10, 1]"
শ্ল,"[1, 1, 0]"
ষ্ক,"[0, 4, 2]"
ষ্ক্র,"[0, 1, 0]"
ষ্ট,"[0, 18, 44]"
ষ্ট্য,"[0, 0, 2]"
ষ্ঠ,"[0, 8, 6]"
ষ্ঠ্য,"[0, 0, 1]"
ষ্ণ,"[0, 2, 2]"
ষ্প,"[0, 4, 1]"
ষ্প্র,"[0, 1, 0]"
ষ্ফ,"[0, 1, 0]"
ষ্ব,"[0, 1, 0]"
ষ্ম,"[0, 2, 1]"
ষ্য,"[0, 1, 2]"
স্ক,"[9, 2, 0]"
স্ক্র,"[5, 0, 0]"
স্ট,"[15, 7, 9]"
স্ট্য,"[4, 0, 0]"
স্ট্র,"[1, 1, 0]"
স্ত,"[1, 22, 22]"
স্ত্ব,"[0, 1, 0]"
স্ত্য,"[0, 0, 1]"
স্ত্র,"[6, 3, 2]"
স্থ,"[4, 18, 14]"
স্থ্য,"[0, 0, 4]"
স্ন,"[5, 1, 0]"
স্প,"[5, 3, 0]"
স্প্র,"[3, 0, 0]"
স্প্ল,"[1, 0, 0]"
স্ফ,"[2, 2, 0]"
স্ব,"[28, 4, 1]"
স্ম,"[6, 1, 1]"
স্য,"[10, 4, 13]"
স্ল,"[1, 0, 0]"
হ্ণ,"[0, 0, 1]"
হ্ন,"[0, 0, 1]"
হ্ব,"[0, 1, 0]"
হ্ম,"[0, 1, 2]"
হ্য,"[1, 0, 6]"
হ্র,"[1, 0, 0]"
হ্ল,"[1, 1, 0]"
ড়্গ,"[0, 0, 1]"
