word,freq
না,251
করে,127
আমার,123
তার,122
এই,106
সে,91
আমি,84
আর,77
থেকে,72
কী,67
হয়,65
হয়ে,59
তো,59
জন্য,56
একটা,55
কোনো,55
নিয়ে,54
কথা,50
তাদের,47
দিয়ে,46
ও,45
যে,43
হলো,43
করুন,43
তাকে,40
বড়,39
হবে,39
গেল,37
এখন,37
তিনি,37
নেই,36
সাথে,36
কিন্তু,35
করতে,34
অনেক,34
যায়,33
আজ,32
আছে,32
তারা,32
কিছু,32
আমাকে,30
বলে,30
খুব,29
ছিল,29
মনে,29
গিয়ে,28
যেন,28
পর,27
এমন,27
তুমি,27
আমাদের,27
মতো,27
সব,26
এত,26
এক,25
দুই,25
আবার,24
দিন,24
কাছে,23
তখন,23
শুরু,23
ছোট,23
বা,23
থাকে,22
চলে,22
কি,22
তোমার,22
মধ্যে,22
হয়েছে,22
বসে,22
বাড়ি,22
এসে,21
এসব,21
সময়,21
কাজ,21
ভালো,21
নয়,21
বের,21
বাড়ির,21
পারে,20
পড়ে,20
বাবা,20
বলতে,20
মানুষ,20
আপনার,20
বাইরে,20
গেছে,19
তাই,19
করা,19
শেষ,19
যদি,19
তা,18
উপর,18
শুধু,18
বাবার,18
এর,18
যাওয়ার,18
আগে,17
দেখি,17
এবং,17
নাকি,17
সেই,17
হতে,17
যা,17
গাড়ি,17
অন্য,16
দিতে,16
ওকে,16
ভয়,16
ধরে,16
কেউ,16
দেখে,15
উঠে,15
করলাম,15
নিজের,15
বাসায়,15
হাজার,15
এ,15
ঘুম,14
যাবে,14
হঠাৎ,14
সারাদিন,14
মা,14
করার,14
পাশের,14
বেশ,14
বউ,14
তোমরা,14
যেতে,13
যখন,13
আরও,13
একটু,13
থাকবে,13
কয়েক,13
এবার,13
দেখতে,12
ভাবতে,12
শুনে,12
করবেন,12
দেওয়া,12
তাহলে,12
আপনি,12
মনের,12
কত,12
আজকে,12
বিভিন্ন,12
বলল,11
নিতে,11
ওর,11
কোথাও,11
ঘরে,11
দিকে,11
পাওয়া,11
সবাই,11
থাকতে,11
করল,11
নতুন,11
মাথা,10
যাচ্ছে,10
উঠল,10
সুন্দর,10
হাত,10
মাঝে,10
খারাপ,10
পরে,10
বেরিয়ে,10
ভিতর,10
হাতে,10
তিন,10
ফোন,10
দাঁড়িয়ে,10
কেন,10
বৃষ্টি,10
মুখে,10
সবসময়,10
আপনাদের,10
মাছ,10
দিল,10
একটি,10
এরপর,10
একাই,10
নারিকেল,10
গাছ,10
দেখল,10
শাশুড়ির,10
অর্থ,10
শব্দের,10
মেনে,9
পুরো,9
তাকিয়ে,9
আসতে,9
পাঁচ,9
ফিরে,9
বললেন,9
ভেবে,9
তবে,9
একজন,9
বলেন,9
কীভাবে,9
মানুষের,9
দেশের,9
পর্যন্ত,9
গেলে,9
সামনে,9
করব,9
পরের,9
ভেঙে,9
চাচা,9
সকালে,9
করেছে,9
মানে,9
দেখলাম,9
হারিয়ে,9
হচ্ছে,9
বিয়ের,9
করো,9
চোখ,9
হোন,9
বোঝায়,9
চা,8
তুই,8
মাথায়,8
পাশে,8
হয়তো,8
মাত্র,8
সাত,8
হওয়ার,8
চেষ্টা,8
মিষ্টি,8
জানান,8
এরা,8
কখনো,8
সাধারণ,8
বাড়িতে,8
ঠিক,8
করবে,8
কেবল,8
অবস্থা,8
মুখ,8
গেলাম,8
কারণ,8
দেশে,8
পেয়ে,8
এগুলো,8
সমুদ্রের,8
বাজারে,8
দেখান,8
ভাইয়া,7
মেলে,7
ছেড়ে,7
মন,7
মাস,7
থেকেই,7
বুঝলাম,7
সবচেয়ে,7
তৈরি,7
ভরে,7
বলা,7
প্রতিদিন,7
বারো,7
চেয়ে,7
খেয়ে,7
করেন,7
যত,7
সেটা,7
অবশ্য,7
জানে,7
এটা,7
দেখা,7
সম্ভব,7
তুলে,7
কিছুই,7
গত,7
ছেলে,7
ফেরার,7
জীবনের,7
উঠতে,7
বাস,7
ট্রেন,7
বন্ধ,7
শব্দ,7
জীবন,7
বলছি,7
দায়িত্ব,7
প্রথম,7
এখানে,7
সকাল,6
রূপ,6
ছিলাম,6
রাগ,6
করেই,6
রেজাল্ট,6
রাত,6
কষ্ট,6
দেওয়ার,6
কারো,6
হচ্ছিল,6
সবাইকে,6
রুম,6
বেঁচে,6
জানি,6
করি,6
পায়,6
প্রিয়,6
বাবাকে,6
এখনো,6
মধ্যেই,6
করতেই,6
ভাবি,6
লাগে,6
আপনারা,6
সাদা,6
করলেন,6
শরীর,6
খেতে,6
হলাম,6
চলবে,6
করত,6
পছন্দ,6
জ্ঞান,6
ত্রাণ,6
সাহায্য,6
বছর,6
আসে,6
দিয়েছে,6
বাসা,6
লাগছে,6
যাবেন,6
বেশি,6
তারপর,6
হওয়া,6
রাতে,6
দাও,6
স্যার,6
যান,6
সমস্যা,6
গাছের,6
গা,6
বাংলা,6
হতো,6
রয়েছে,6
হয়নি,6
শাশুড়ি,6
নাম,6
বস,6
লিখুন,6
মনটা,5
চোখে,5
খেয়াল,5
গুছিয়ে,5
আসলে,5
সারা,5
পারিনি,5
কথায়,5
নিচে,5
ওঠে,5
পেলাম,5
নিজেকে,5
দরজা,5
বিছানায়,5
খোলা,5
আকাশ,5
কখন,5
পানি,5
জায়গা,5
তেমন,5
মেয়ে,5
সত্য,5
গান,5
তাও,5
দোয়া,5
সেগুলো,5
পার,5
কেটে,5
দিলাম,5
কেমন,5
আছেন,5
পান,5
সবার,5
ওদের,5
কে,5
সাহস,5
কম,5
ইচ্ছা,5
মজার,5
পা,5
দেন,5
নেয়,5
পৌঁছাতে,5
খালি,5
সবই,5
এতে,5
নিউজ,5
বাঁধ,5
বই,5
নিজেদের,5
খুবই,5
ফেসবুকে,5
টাকা,5
চাই,5
নীল,5
গাড়ির,5
আগেই,5
দিলেন,5
ছাড়া,5
ফোনটা,5
দ্রুত,5
তোমাকে,5
মিলে,5
আগামীকাল,5
ক্লাসে,5
প্রশ্ন,5
পড়ল,5
নৌকা,5
দূর,5
তর্ক,5
ফেসবুক,5
জানতে,5
হয়েছিল,5
মায়ের,5
রেখে,5
দেখার,5
জন,5
ছেলেটা,5
বিয়ে,5
লেখাপড়া,5
গ্রামে,5
শহর,5
হলে,5
যাও,5
কর,5
চাকরি,5
ভুল,5
বাজাও,5
জলদি,5
কাপ,4
ছাদে,4
বসলাম,4
সূর্য,4
শান্ত,4
পৃথিবীর,4
সৌন্দর্য,4
আমিই,4
চায়,4
পারতাম,4
একদিন,4
খাবার,4
ভুলে,4
কিছুক্ষণ,4
সহ্য,4
ভয়ে,4
ঘুমিয়ে,4
পারবে,4
শুয়ে,4
ঝড়ের,4
বেগে,4
বুঝে,4
বাকি,4
কথাগুলো,4
যেমন,4
ঘর,4
শুনতে,4
মিনিট,4
এভাবে,4
ওই,4
খুলে,4
দেখাই,4
নামে,4
কোথায়,4
দেয়,4
সমস্ত,4
ভাবতেই,4
ভালোভাবে,4
বৃষ্টিতে,4
বোনকে,4
খেলা,4
রাস্তার,4
ডেকে,4
কোটি,4
যাব,4
হাসি,4
মেয়েরা,4
এখনই,4
চল,4
বাঁধের,4
কলা,4
সেখানে,4
পালন,4
দেরি,4
চলছে,4
আলো,4
হাঁটতে,4
নিবেন,4
তে,4
পনেরো,4
ইত্যাদি,4
ঘরের,4
এদের,4
দাবী,4
চোখের,4
থাকা,4
পাশেই,4
বাজার,4
ওপাশ,4
থাকলে,4
বলার,4
সুযোগ,4
হোক,4
বলেই,4
আমরা,4
জিজ্ঞেস,4
রাখার,4
স্টেশন,4
স্টেশনমাস্টার,4
পড়তে,4
পদক্ষেপ,4
প্রাণ,4
পরামর্শ,4
পরীক্ষা,4
ভিন্ন,4
পদ্মার,4
পাড়ে,4
বার,4
পিছনে,4
সিটে,4
লাগানো,4
দূরে,4
লাল,4
মহালয়া,4
রান্না,4
পাশ,4
খেলে,4
বাদ,4
যারা,4
থাক,4
মানুষকে,4
যদিও,4
খাতায়,4
যাক,4
করেছিল,4
চার,4
জেলেদের,4
ব্যবহার,4
ভেসে,4
বজায়,4
ডাকতে,4
পড়া,4
নিরাপদ,4
দেখুন,4
বউয়ের,4
রাগী,4
আম্মা,4
পৌঁছে,4
বৌমা,4
বউকে,4
ক্ষেত,4
চারা,4
লাগাবে,4
করোনা,4
দৃষ্টি,4
আলাদা,4
কাল,4
টিম,4
প্রাচীন,4
টান,4
অবিশ্বাস্য,4
নেওয়া,4
তাঁদের,4
খোঁজ,4
থাকুন,4
তোমাদের,4
ডাকুন,4
মাঠে,4
ফেলে,4
রোগীকে,4
সহমর্মিতা,4
কিনুন,4
নাই,4
নিষ্পাপ,3
রঙের,3
পৃথিবী,3
জানাতে,3
ঘোর,3
ঠান্ডা,3
ফিরল,3
রে,3
কোন,3
পরিশ্রম,3
করলে,3
সান্ত্বনা,3
নেমে,3
পাখি,3
পারি,3
গিয়েছিলাম,3
কান্না,3
পারছিলাম,3
রইলাম,3
বারবার,3
শূন্য,3
খুশি,3
জীবনে,3
এসেছে,3
অনুভব,3
ঘুরে,3
থাকার,3
অনুপ্রেরণা,3
গর্ব,3
একসাথে,3
নাস্তা,3
করেছেন,3
কথাটা,3
কতটা,3
দশ,3
কেজি,3
উচিত,3
ঘণ্টা,3
আম্মু,3
পাই,3
বিশ্বাস,3
অসম্ভব,3
পেতে,3
যাইহোক,3
জানিয়ে,3
সম্ভবত,3
চলাচল,3
যাচ্ছিল,3
শুকিয়ে,3
নে,3
অপেক্ষা,3
আওয়াজ,3
প্রশ্নের,3
এতকিছু,3
থাকেন,3
বিশ্রাম,3
নেন,3
বলবেন,3
হলেন,3
গল্প,3
খবর,3
ব্যস্ত,3
টানা,3
পানিতে,3
করছে,3
করছিল,3
নির্দেশ,3
বোনের,3
রাস্তায়,3
ভিজে,3
যেই,3
উফ,3
ব্যথা,3
নেতা,3
পৌঁছায়,3
আরেকটু,3
জানায়,3
নিল,3
ছিলেন,3
নিচু,3
পড়লাম,3
বরং,3
ধারণা,3
গরম,3
বংশের,3
ঘুরতে,3
পারল,3
অনুরোধ,3
শুনবেন,3
বলেছিলেন,3
আসন,3
বোধহয়,3
আছি,3
চারিদিকে,3
এলাকায়,3
বিপর্যস্ত,3
মজবুত,3
মন্ত্রী,3
আসবে,3
পকেট,3
তেলাপিয়া,3
অভাব,3
হলেও,3
তাতে,3
বুঝি,3
প্রথমে,3
ছাতাটা,3
খাতা,3
পারলে,3
সংসারের,3
এইসব,3
দেশ,3
পাড়ি,3
তুলনায়,3
উপায়,3
হায়,3
যাই,3
বিপদ,3
যেত,3
যাচ্ছি,3
দক্ষিণ,3
জনপদ,3
তবুও,3
খিচুড়ি,3
দল,3
আসা,3
ছবি,3
সরকারের,3
দাবি,3
পারেনি,3
নেবে,3
আগেও,3
দেখেছে,3
অধিকার,3
খেটে,3
খাওয়া,3
পরিবার,3
গাড়িটা,3
দেখলেন,3
খেল,3
ড্রাইভার,3
কল,3
ফ্রি,3
জরুরী,3
তখনও,3
পড়ালেখা,3
শোনো,3
এদিকে,3
যাচ্ছ,3
বন্ধু,3
সেদিন,3
হিসেবে,3
স্টেশনে,3
সম্মান,3
নেওয়ার,3
বাসে,3
যাওয়া,3
কথাই,3
আসার,3
বিষয়ে,3
গ্রহণ,3
রাখা,3
হারানোর,3
সবকিছু,3
নদী,3
চড়ে,3
প্রায়,3
দুটো,3
চারপাশে,3
পাওয়ার,3
যেখানে,3
দিদি,3
শাড়ি,3
দিয়েছিলেন,3
প্রথা,3
অফিসের,3
নিলাম,3
একুশে,3
শুভ,3
স্ট্যাটাস,3
লাঙ্গল,3
ক্ষ্যাত,3
মতে,3
ঘটনা,3
ব্যক্তিগত,3
উপস্থিত,3
উদাহরণ,3
কিশোরের,3
বললেই,3
সাগরে,3
ধরতে,3
মাঝ,3
সমুদ্রে,3
সাগরের,3
ঢেউ,3
লড়াকু,3
মিডিয়া,3
রিপোর্ট,3
পড়েছে,3
মানুষগুলোকে,3
অসীম,3
বাধ্য,3
জানা,3
পরিবারের,3
বলেছিল,3
লাগাতে,3
চাইল,3
বেঁধে,3
ভাসিয়ে,3
সমান,3
ডাক,3
পঞ্চাশ,3
জেলে,3
সাড়া,3
চেয়েছিল,3
নিশ্চয়তা,3
খবরটা,3
কঠিন,3
শাশুড়িকে,3
গলায়,3
ঘুরিয়ে,3
জি,3
উত্তর,3
গহনা,3
আনতে,3
মৃত্যু,3
অথচ,3
ছয়,3
মহামারি,3
ঘণ্টার,3
সবজি,3
পড়েছিলাম,3
মাংশ,3
পানির,3
স্ত্রী,3
শক্ত,3
মুক্তি,3
আশেপাশের,3
আশা,3
যাতে,3
সারি,3
ক্ষেতের,3
বেগুনের,3
বিষয়,3
শুনলাম,3
ছুটি,3
চিন্তা,3
চাপ,3
অসাধারণ,3
ভাঙল,3
ই,3
স্পটে,3
“,3
রাখুন,3
সকলের,3
নিন,3
মাধ্যমে,3
সরে,3
বেলে,3
দিচ্ছি,3
সেঁকে,3
উচ্চারণ,3
ছাড়ুন,3
থামান,3
প্রতি,3
দেখ,3
পাতায়,3
নাও,3
মেয়েদের,3
অংশ,3
হও,3
নারী,3
হল,3
অতি,3
লক্ষ্য,3
দায়,3
ভেঙ্গে,2
ফ্রেশ,2
সৌন্দর্যের,2
অপরূপ,2
লালচে,2
কমলা,2
আভা,2
ছড়িয়ে,2
সগৌরবে,2
আবির্ভাবের,2
নত,2
অভিবাদন,2
বললাম,2
দেবে,2
টেনশনে,2
ঘুমাতে,2
বুলিয়ে,2
করিস,2
তোর,2
ব্যালকনিতে,2
খাঁচা,2
কখনও,2
মায়া,2
আটকাতে,2
আশেপাশে,2
আরেকটা,2
কোনোভাবেই,2
মেরে,2
গুমড়ে,2
বাইরের,2
চেনে,2
অজানা,2
পড়ি,2
টের,2
পাইনি,2
সন্ধ্যায়,2
অভ্যাসবশত,2
খাঁচার,2
অবাক,2
খুশিতে,2
এলো,2
হাতটা,2
ঘাটতি,2
দুঃশ্চিন্তা,2
যাদের,2
প্রচলিত,2
যেসব,2
ভাগ্যবতী,2
জানালেন,2
পাঠিয়েছেন,2
কিনতে,2
পাবলিশড,2
আত্মীয়,2
আম্মুর,2
অভিযোগ,2
প্রবেশ,2
গেলেন,2
পাচ্ছিলাম,2
স্মরণ,2
করিয়ে,2
দশমিক,2
পরেই,2
প্রতিটি,2
সেকেন্ড,2
সেকেন্ডের,2
প্রবাহিত,2
বেড়ে,2
বুকের,2
বলদ,2
দরজার,2
বারান্দায়,2
স্বাদ,2
একা,2
ভক্তকে,2
দিতেই,2
মুগ্ধ,2
হই,2
কাকে,2
কাছ,2
ভক্ত,2
ভালোবাসা,2
জানেন,2
রাখেন,2
নিয়েই,2
ভেবেই,2
ফেললাম,2
আকাশে,2
পরিবেশ,2
আশ্বিন,2
শুভ্রতা,2
রাখে,2
চারপাশের,2
মেঘে,2
কাশফুলের,2
ভালোবাসার,2
চারপাশ,2
কঠোর,2
একগাদা,2
ঔষধ,2
আমারও,2
আসি,2
বৃষ্টির,2
ডাল,2
দিয়েছি,2
আছাড়,2
মেজাজ,2
লাগল,2
চোর,2
চোরের,2
বংশধর,2
বাজেট,2
বিনা,2
বাক্য,2
অনুদান,2
চললে,2
কখনোই,2
বাম,2
টা,2
পেয়েছি,2
রাগে,2
ফুসতে,2
অন্যের,2
বুদ্ধি,2
নিষেধ,2
কাউকে,2
তাহলেই,2
চিৎকার,2
মাকে,2
হতেই,2
রসিয়ে,2
গেছি,2
মহাখুশি,2
হতবাক,2
দেই,2
পায়ে,2
তেল,2
মাসে,2
দেখিনি,2
বাতি,2
সপ্তাহে,2
জমিদার,2
এসেছিলাম,2
এরকম,2
মজা,2
সহকারে,2
আনন্দের,2
জ্ঞানের,2
অন্বেষণ,2
আমায়,2
পথ,2
কয়েকজন,2
উপদেশ,2
বসুন,2
এখানকার,2
অর্থনৈতিক,2
বুক,2
বেধে,2
প্রশাসন,2
সরকারি,2
এমপি,2
ধাপে,2
পলি,2
মাটির,2
বন্যায়,2
লাভ,2
বাঁচাতে,2
সরকার,2
ব্যবসা,2
এলাকার,2
চাষিরা,2
ঘেরে,2
চাষ,2
এমনিতেই,2
সংসার,2
লোন,2
ভুগতে,2
কিছুদিন,2
আসল,2
মূর্তিমান,2
বিভিষিকা,2
গুণ,2
উপরে,2
ঢুকে,2
কেউই,2
বাতাস,2
বইছে,2
ইস্,2
বলতেই,2
আয়,2
ছাতা,2
রিকশা,2
আট,2
উনিশ,2
পোস্ট,2
মানুষগুলোর,2
অবস্থান,2
বলেছেন,2
জানিয়েছেন,2
ঠিকই,2
জনগণের,2
ক্ষণস্থায়ী,2
তাসের,2
নির্বাচনের,2
খুঁজে,2
টেকসই,2
প্রহসন,2
দেয়ালে,2
পিঠ,2
ঠেকে,2
বাংলাদেশ,2
জীবিকা,2
উপার্জন,2
জানিয়েছে,2
প্রাণের,2
কিনেছেন,2
শোনা,2
জল,2
মুছে,2
যেটা,2
দিনই,2
চালান,2
লোকের,2
জরিমানা,2
পুলিশ,2
লোক,2
কদর,2
চাচার,2
পেয়েছেন,2
স্ক্রিনে,2
চমকে,2
উঠলাম,2
রিসিভ,2
দিয়েই,2
অবশ্যই,2
ক্যান্টিনের,2
জানাতেই,2
চেপে,2
খাচ্ছে,2
দেখেই,2
দুজনেই,2
সম্পর্ক,2
শোনার,2
বাড়িয়ে,2
শরীরের,2
প্রায়ই,2
বর্ণনা,2
দুজন,2
বনের,2
বন্ধুর,2
গাইতে,2
মাস্টার,2
যোগদান,2
স্নেহ,2
রংপুরে,2
শাক,2
আসেন,2
তামাক,2
ক্লাস,2
ডিন,2
স্যারের,2
অসুস্থ,2
ধাতস্থ,2
কারণটা,2
ব্যাখ্যা,2
সেজন্য,2
লাগবে,2
পারছেন,2
চিবোতে,2
তথা,2
আসবেন,2
নেতাদের,2
আমিও,2
নির্দিষ্ট,2
সময়ে,2
এ্যাসাইনমেন্ট,2
পরবর্তীতে,2
দুশ্চিন্তায়,2
আশ্বস্ত,2
হাতের,2
দেখলে,2
গেছেন,2
বিশাল,2
জলরাশি,2
বয়ে,2
চলা,2
মোটর,2
রেল,2
ব্যাপার,2
ড্রাইভিং,2
পার্ক,2
নদীর,2
ভিতরটা,2
প্রমাণ,2
ধীরে,2
ডাকাডাকিতে,2
পাড়,2
সিঁদূর,2
কপালে,2
ছড়ানো,2
দেবী,2
অফিসে,2
ভোরে,2
দাদাবাবু,2
এছাড়া,2
উদ্দেশ্যে,2
শিক্ষিত,2
মানা,2
সময়ও,2
নিয়ম,2
ঘড়ির,2
এলিয়ে,2
স্ক্রলিং,2
অন,2
কয়েকটা,2
জমা,2
ম্যাসেঞ্জার,2
ওপেন,2
মহালয়ার,2
শুভেচ্ছাবার্তা,2
দিচ্ছে,2
ফেব্রুয়ারি,2
হতাশ,2
ভাই,2
জুড়ে,2
আপডেট,2
টন,2
ট্রেন্ডে,2
ট্রেন্ড,2
ভাইরাল,2
এজন্য,2
ফল,2
নই,2
উপাধি,2
বিশেষ,2
একান্তই,2
ছি,2
খেলার,2
অনুমতি,2
চায়নি,2
যোগ্যতা,2
ছিনিয়ে,2
বসেই,2
দিনশেষে,2
স্কুলে,2
শুনেছি,2
ছোটো,2
অঞ্চল,2
পদে,2
মুহূর্তে,2
বুকে,2
ভয়াবহ,2
পাড়ায়,2
সংখ্যা,2
হয়েই,2
কার্যকর,2
সাহসীকতার,2
দিয়েছিল,2
থাকলেও,2
স্কুল,2
হাল,2
নামক,2
সমুদ্র,2
কেড়ে,2
নিয়েছে,2
রোজ,2
পেত,2
পরিবারকে,2
চেয়েছিলাম,2
ভাষায়,2
দাঁড়,2
ফোঁশকা,2
কিশোর,2
লাইফ,2
সাপোর্ট,2
প্রয়োজন,2
বিপদের,2
বাঁচানোর,2
কাজে,2
ছেলেবেলায়,2
শুকনো,2
হালকা,2
অল্প,2
ক্রসের,2
থাকত,2
ভারী,2
কর্কশিট,2
নৌকার,2
রাখত,2
পাটাতন,2
মহাজনের,2
ট্রলারের,2
মোট,2
ট্রলারে,2
যাত্রা,2
কাছাকাছি,2
পাড়ের,2
জেলেরা,2
শ্রদ্ধা,2
আগ,2
কিছুদিনের,2
ঈদ,2
শিক্ষা,2
শেখা,2
কিছুতেই,2
ছেলের,2
শুনেছিল,2
ভেবেছিল,2
যুগের,2
উপার্জনের,2
খবরদারি,2
রুমে,2
একবারও,2
ওরা,2
বাগান,2
পুকুর,2
জমি,2
দেখাতে,2
বৌমাকে,2
বাগানে,2
বুঝতে,2
গহনাগুলো,2
অথবা,2
জনপ্রিয়,2
বয়সেই,2
বুকটা,2
ছ্যাৎ,2
নামকরা,2
অঙ্ক,2
বিপর্যয়,2
সিদ্ধান্ত,2
খামারে,2
করায়,2
তাকাতেই,2
মুখের,2
ঝুকে,2
রুমের,2
গুলিয়ে,2
পারলাম,2
শক্তি,2
ঘাবড়ে,2
বিছানা,2
দৌড়ে,2
উঠোনে,2
অনাহারী,2
রেখেছে,2
ঘুমের,2
গোঁ,2
জড়িয়ে,2
আদায়,2
মুক্তির,2
মজুদ,2
আগের,2
প্রকৃত,2
সুখ,2
ধানের,2
জমিতে,2
মাঠের,2
অজুহাত,2
গেলো,2
শ্বশুর,2
ছেলেরা,2
ফাইনাল,2
স্বামীকে,2
পরীক্ষার,2
প্রস্তুতি,2
পারবেন,2
বলেছে,2
ইন্টারভিউ,2
বলেছি,2
যেহেতু,2
এইবার,2
লিখিত,2
রান,2
তোলার,2
অন্যদের,2
খেলতে,2
ইনিংস,2
দিনের,2
বিশেষণে,2
বিশেষায়িত,2
ওভার,2
উত্তেজনা,2
দুর্দান্ত,2
পয়েন্ট,2
ধুয়ে,2
পুত্র,2
কাটিয়ে,2
শুনতাম,2
অবলোকন,2
অভিজ্ঞতা,2
ইনিংসটাই,2
খেললেন,2
পরপর,2
ম্যাচের,2
কিক,2
কারণে,2
ম্যাচে,2
দাম,2
সোনার,2
ব্যবহৃত,2
জিনিস,2
তারকা,2
কালের,2
খবরের,2
ফোনের,2
দোস্ত,2
রাতের,2
শিবুকে,2
মন্দ,2
চাদরে,2
কাঁপা,2
ভাইয়ের,2
যায়নি,2
সন্তানেরা,2
আমারই,2
ভালোই,2
দাদা,2
শুনছি,2
উনি,2
রুমটা,2
ঘরটা,2
পেতাম,2
স্কোর,2
শো,2
একদিনে,2
সাধনা,2
ক্ষুদ্র,2
সম্পদ,2
জানাও,2
এটাই,2
ঘ্রাণ,2
এটার,2
থাকো,2
কাজটা,2
সুস্থ,2
চান,2
সকালের,2
প্রাতরাশ,2
শক্তিবর্ধনীয়,2
ঠেলে,2
বকে,2
ধাক্কা,2
অনুষ্ঠানটি,2
উপস্থাপনা,2
ব্যাপারে,2
হবেন,2
পড়ুন,2
নিমন্ত্রণ,2
আন্তরিকতা,2
অতিথিকে,2
দুর্নাম,2
আন্তরিক,2
ভণ্ডামি,2
ডাক্তার,2
তাড়াতাড়ি,2
নির্দয়,2
আজই,2
সার্টিফিকেট,2
তুলুন,2
কম্পিউটার,2
আনন্দিত,2
ভর্ৎসনা,2
অম্লান,2
তন্ময়,2
আক্কেল,2
তুলেছে,2
অনাঘ্রাত,2
হিন্দুধর্ম,2
ব্রহ্ম,2
আগুন,2
ষণ্নবতি,2
সস্ত্রীক,2
নক্ষত্রের,2
ধরা,2
যার,2
মোবাইলটা,2
রাখ,2
লেখাটা,2
পড়,2
বল,2
উনত্রিশ,2
নম্বর,2
পৃষ্ঠা,2
খোল,2
নয়ত,2
বেলা,2
ঘুমিয়েছিস,2
ওঠ,2
চুপ,2
শোন,2
মনযোগ,2
লিখ,2
খাবি,2
ভাব,2
বোতল,2
কিন,2
ধর,2
ফেল,2
নয়তো,2
সর,2
লুচিগুলো,2
বেল,2
পায়েশটা,2
ঢাক,2
সুখে,2
নাচ,2
হাঁট,2
বেচ,2
আসছি,2
এইখানে,2
চেয়ারটা,2
ওদিকে,2
তীক্ষ্ণ,2
রাখতে,2
ভাগ্য,2
গ্রহ,2
স্বাস্থ্য,2
ঘি,2
রোগের,2
আকাঙ্ক্ষা,2
তৎপর,2
সম্পন্ন,2
রন্ধ্রে,2
দাসত্ব,2
বৈশিষ্ট্য,2
গুরুত্বপূর্ণ,2
বর্গ,2
বাংলায়,2
খাদ্য,2
ধর্ম,2
কোর্টে,2
প্রয়োগ,2
শুদ্ধ,2
ঐক্যমত,2
উপন্যাস,2
ঐতিহ্য,2
লিখেছেন,2
মাপুন,2
মুক্ত,2
বানান,2
দলে,2
ভাগ,2
রাজ্যে,2
শঙ্খ,2
কুঞ্জ,2
সাজাও,2
গাইবে,2
যত্ন,2
কণ্ঠের,2
বেশী,2
পত্র,2
হাই,2
আড়মোড়া,2
নন,2
বারে,2
সমচ্চারিত,2
তালিকা,2
অজ্ঞাত,2
অবজ্ঞাত,2
তুচ্ছ,2
